Month,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Plane of Array Irradiance (W/m^2),DC Array Output (W),AC System Output (W)
1,414,34,173.985,598.631,565.792
1,717,60,421.469,1534.704,1475.749
1,846,72,616.972,2234.377,2150.582
1,902,80,741.574,2630.62,2530.739
1,900,89,779.091,2741.557,2636.91
1,889,86,742.133,2615.618,2516.372
1,842,77,625.256,2214.166,2131.152
1,716,65,436.233,1518.478,1460.045
1,448,37,191.868,644.405,610.478
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,424,34,176.912,592.97,560.264
1,670,69,412.748,1470.046,1413.156
1,765,95,597.407,2145.328,2064.947
1,132,190,308.419,1155.588,1108.191
1,119,210,326.386,1216.274,1167.116
1,136,198,321.458,1196.95,1148.357
1,134,161,266.706,995.402,952.487
1,166,105,201.126,741.745,705.44
1,445,38,193.151,640.752,606.913
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,53,36,58.951,215.797,191.292
1,204,95,212.021,775.557,738.406
1,0,113,111.803,423.478,394.62
1,114,190,295.698,1095.892,1050.194
1,13,171,181.784,685.917,650.987
1,0,125,122.692,467.476,437.646
1,0,60,56.965,219.827,195.241
1,0,75,73.602,286.2,260.265
1,0,35,34.607,136.5,113.551
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,458,34,187.023,651.597,617.497
1,707,64,425.596,1558.849,1499.112
1,817,81,611.469,2262.827,2177.925
1,280,181,412.015,1577.604,1517.256
1,25,179,199.473,782.576,745.248
1,15,163,174.732,686.727,651.777
1,0,82,78.657,311.822,285.355
1,0,37,35.082,139.092,116.093
1,0,19,17.998,71.477,49.76
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,440,37,184.524,654.457,620.288
1,705,69,430.603,1636.416,1574.132
1,830,85,624.716,2397.995,2307.734
1,897,91,755.849,2890.742,2779.508
1,875,108,793.303,3003.129,2886.794
1,875,101,756.739,2865.905,2755.781
1,844,87,645.909,2444.473,2352.33
1,759,67,467.343,1743.866,1677.961
1,541,38,227.364,800.095,762.323
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,306,34,142.177,521.141,490.098
1,813,59,468.566,1767.094,1700.393
1,917,74,667.68,2517.158,2422.032
1,964,82,794.713,2968.637,2853.88
1,966,89,836.842,3049.835,2931.347
1,955,86,799.612,2919.075,2806.565
1,915,77,682.225,2456.721,2364.079
1,815,64,490.585,1767.587,1700.869
1,588,38,239.89,814.928,776.777
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,279,46,147.931,532.904,501.593
1,595,83,393.473,1470.545,1413.639
1,6,132,136.111,538.128,506.696
1,113,201,308.226,1192.552,1144.087
1,256,203,430.441,1628.671,1566.644
1,812,106,725.945,2620.072,2520.637
1,761,96,611.892,2199.792,2117.332
1,646,79,428.162,1522.482,1463.92
1,412,46,196.43,676.628,641.924
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3,2.835,10.946,0
1,0,66,63.849,245.417,220.316
1,0,86,82.772,317.624,291.035
1,0,119,116.088,442.543,413.266
1,0,131,128.243,486.318,456.065
1,83,197,272.324,1018.517,974.97
1,201,163,312.234,1155.911,1108.505
1,73,110,154.96,579.948,547.547
1,0,43,43.085,165.755,142.239
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,470,35,192.413,640.022,606.2
1,725,61,430.68,1516.843,1458.462
1,836,74,621.009,2209.221,2126.397
1,878,83,739.626,2598.942,2500.4
1,860,98,773.981,2702.268,2599.322
1,676,105,630.364,2219.143,2135.937
1,552,111,498.615,1766.646,1699.96
1,708,68,451.136,1572.023,1511.857
1,330,46,172.124,587.157,554.587
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,29,39,50.595,194.551,170.469
1,0,48,45.548,179.203,155.423
1,0,128,127.541,492.786,462.387
1,0,108,104.494,401.239,372.867
1,0,106,102.126,390.703,362.559
1,0,67,63.641,244.487,219.404
1,0,49,46.498,178.982,155.206
1,0,27,25.583,98.686,76.459
1,323,56,182.412,632.385,598.746
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,7,6.619,26.152,5.271
1,0,70,67.943,265.606,240.094
1,225,158,327.513,1222.579,1173.237
1,6,158,162.014,614.825,581.603
1,72,210,280.278,1044.212,999.957
1,318,190,455.47,1637.396,1575.079
1,274,160,365.663,1319.932,1267.689
1,811,52,486.986,1673.075,1609.568
1,615,35,255.16,838.859,800.094
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,489,35,199.101,666.554,632.094
1,760,53,441.641,1559.526,1499.766
1,871,60,626.378,2211.283,2128.38
1,922,64,748.701,2618.196,2518.841
1,904,76,782.227,2672.049,2570.401
1,895,74,756.364,2574.651,2477.13
1,859,67,649.522,2183.356,2101.526
1,777,56,476.458,1610.109,1548.695
1,577,38,247.126,807.523,769.562
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,534,31,206.145,674.417,639.767
1,776,50,447.025,1547.861,1488.48
1,877,59,630.462,2175.721,2094.182
1,922,63,749.457,2533.996,2438.172
1,930,66,792.016,2654.07,2553.19
1,921,64,760.327,2490.202,2396.188
1,885,59,654.711,2108.579,2029.585
1,290,109,279.121,952.089,910.345
1,602,36,255.344,826.415,787.971
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,10,9.46,37.089,16.008
1,0,8,7.57,29.682,8.737
1,4,136,138.315,537.819,506.395
1,0,23,21.808,85.395,63.418
1,31,197,233.07,900.649,860.273
1,0,68,64.597,252.199,226.961
1,674,114,589.884,2202.756,2120.181
1,61,119,158.909,614.713,581.494
1,0,27,25.592,101.442,79.162
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,245,41,131.838,482.372,452.208
1,488,77,341.015,1287.122,1235.866
1,734,72,562.747,2093.943,2015.498
1,803,76,687.985,2483.491,2389.752
1,639,128,656.175,2370.16,2281.016
1,872,109,791.175,2802.132,2694.835
1,801,103,663.417,2357.011,2268.393
1,671,89,467.092,1673.438,1609.919
1,448,57,229.381,791.126,753.582
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,237,61,150.442,551.59,519.848
1,0,30,28.431,114.66,92.129
1,8,141,146.066,579.289,546.904
1,55,199,252.927,983.638,941.043
1,39,205,248.266,965.06,922.967
1,199,215,389.578,1485.492,1428.112
1,52,171,216.717,842.044,803.197
1,20,115,126.478,497.641,467.132
1,0,32,30.347,121.384,98.725
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,330,55,174.595,624.388,590.939
1,0,78,76.031,304.769,278.448
1,18,150,162.272,641.335,607.481
1,70,205,270.93,1055.137,1010.579
1,5,170,172.804,678.056,643.317
1,87,214,294.75,1139.73,1092.787
1,18,157,169.607,664.795,630.378
1,100,127,195.495,757.069,720.382
1,0,57,57.319,229.272,204.497
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,20,46,55.158,218.299,193.744
1,0,19,17.993,72.592,50.855
1,0,115,112.55,446.493,417.129
1,6,165,168.669,661.865,627.518
1,29,201,235.414,909.579,868.967
1,42,202,246.529,948.998,907.337
1,184,184,328.928,1244.586,1194.595
1,0,76,73.191,288.439,262.458
1,454,64,242.061,847.085,808.107
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,475,44,207.712,724.611,688.732
1,724,71,454.982,1671.15,1607.707
1,842,84,651.989,2380.401,2290.847
1,893,93,782.128,2803.185,2695.841
1,872,110,818.995,2902.179,2790.431
1,860,108,786.857,2741.972,2637.307
1,827,96,682.427,2379.356,2289.844
1,757,76,507.014,1757.859,1691.475
1,590,48,276.708,927.795,886.701
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,492,46,215.653,730.173,694.155
1,747,73,470.055,1681.368,1617.583
1,859,89,670.379,2413.478,2322.593
1,912,97,803.064,2883.875,2772.948
1,928,100,854.026,3059.262,2940.336
1,230,221,421.194,1556.384,1496.727
1,630,108,565.815,2054.439,1977.466
1,145,133,226.823,844.202,805.299
1,547,57,272.121,933.465,892.22
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,34,32.351,127.276,104.504
1,1,103,103.342,398.767,370.449
1,0,128,126.07,481.08,450.945
1,65,211,273.672,1028.672,984.846
1,148,239,383.634,1418.203,1362.942
1,125,228,350.189,1296.611,1245.071
1,0,106,102.5,388.077,359.99
1,722,86,503.696,1778.517,1711.422
1,558,54,274.741,919.883,878.999
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,390,42,181.314,613.268,580.083
1,780,57,469.256,1640.863,1578.431
1,876,68,661.774,2309.704,2222.963
1,921,73,781.322,2702.815,2599.845
1,922,81,826.707,2839.091,2730.16
1,908,80,793.793,2689.718,2587.312
1,867,75,689.964,2329.819,2242.282
1,788,63,513.405,1732.967,1667.434
1,597,47,283.062,939.839,898.423
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,606,40,245.368,843.545,804.659
2,819,64,498.387,1792.728,1725.141
2,911,78,698.441,2518.578,2423.393
2,952,87,829.11,2942.292,2828.732
2,963,92,880.607,3096.502,2975.841
2,945,93,845.706,2966.525,2851.865
2,891,90,726.132,2564.804,2467.696
2,780,81,534.217,1874.053,1803.618
2,225,67,162.832,579.406,547.018
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,633,41,256.099,896.464,856.198
2,834,66,509.999,1898.241,1826.947
2,925,82,714.483,2662.109,2560.887
2,970,91,849.965,3140.471,3017.745
2,990,92,904.866,3331.295,3199.397
2,985,89,874.761,3208.775,3082.804
2,953,81,761.315,2799.301,2692.129
2,878,68,573.291,2083.734,2005.671
2,713,47,326.922,1139.839,1092.893
2,205,12,60.034,186.958,163.026
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,670,40,268.328,943.258,901.751
2,861,64,523.539,1962.91,1889.292
2,944,80,727.161,2741.451,2636.809
2,986,88,861.373,3221.083,3094.523
2,997,92,907.504,3384.572,3250.052
2,988,89,874.515,3265.522,3136.824
2,952,82,764.724,2864.502,2754.441
2,874,70,575.919,2132.631,2052.731
2,713,49,330.973,1174.428,1126.489
2,242,13,68.932,216.921,192.393
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,681,39,272.311,949.807,908.124
2,859,62,522.352,1943.405,1870.493
2,934,78,720.776,2696.745,2594.037
2,966,87,847.889,3147.874,3024.798
2,946,103,888.442,3277.287,3148.019
2,926,102,850.045,3107.416,2986.244
2,881,95,733.054,2694.885,2592.258
2,677,70,470.965,1731.78,1666.288
2,500,51,257.427,916.604,875.807
2,0,15,14.216,57.3,35.847
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,51,50.37,202.896,178.648
2,0,98,96.321,384.647,356.634
2,55,180,226.896,886.924,846.91
2,128,239,363.968,1395.495,1340.938
2,31,217,253.681,976.001,933.613
2,54,224,279.778,1070.047,1025.074
2,21,174,188.674,729.146,693.154
2,6,125,127.789,500.3,469.732
2,410,60,234.261,842.507,803.648
2,0,16,15.166,60.686,39.17
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,224,57,146.488,528.27,497.065
2,124,131,209.259,787.306,749.858
2,832,89,670.21,2364.59,2275.669
2,888,95,803.155,2838.617,2729.708
2,901,102,857,3073.018,2953.452
2,894,102,830.879,3000.03,2883.837
2,857,95,721.768,2611.67,2512.591
2,746,89,535.483,1930.43,1857.984
2,543,67,293.236,1023.446,979.764
2,0,21,20.299,79.472,57.606
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,22,20.839,84.328,62.371
2,10,117,121.862,483.71,453.516
2,0,91,87.046,345.642,318.463
2,0,38,36.066,144.414,121.313
2,0,130,125.778,495.744,465.278
2,0,141,137.254,537.828,506.403
2,0,36,34.154,135.469,112.54
2,0,79,75.595,298.873,272.675
2,0,28,26.533,105.874,83.511
2,76,18,37.336,130.385,107.554
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,483,58,234.376,823.869,785.49
2,0,20,18.945,74.985,53.203
2,3,152,152.452,593.951,561.222
2,15,192,202.852,773.513,736.413
2,7,186,189.733,720.465,684.688
2,0,89,84.644,326.546,299.77
2,13,172,180.384,692.463,657.373
2,0,63,59.823,233.294,208.438
2,13,78,82.949,322.624,295.93
2,0,10,9.464,37.585,16.495
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,372,73,214.716,770.323,733.304
