Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,3,22,0,0,-9,8,0,-9,0,0
1,3,23,0,0,-10,8,0,-10,0,0
1,4,0,0,0,-11,7,0,-11,0,0
1,4,1,0,0,-12,7,0,-12,0,0
1,4,2,0,0,-12,7,0,-12,0,0
1,4,3,0,0,-13,7,0,-13,0,0
1,4,4,0,0,-13,6,0,-13,0,0
1,4,5,0,0,-14,6,0,-14,0,0
1,4,6,0,0,-14,5,0,-14,0,0
1,4,7,0,0,-14,5,0,-14,0,0
1,4,8,431,31,-14,5,177.179,-12,620.844,587.479
1,4,9,723,53,-13,5,416.538,-5.985,1553.667,1494.099
1,4,10,447,114,-11,4,418.527,-2.398,1596.137,1535.183
1,4,11,902,68,-10,3,716.589,7.247,2636.714,2536.574
1,4,12,527,138,-8,3,556.839,6.103,2068.574,1991.077
1,4,13,882,74,-7,2,713.188,12.863,2560.395,2463.47
1,4,14,552,95,-7,2,461.961,6.605,1691.585,1627.455
1,4,15,454,68,-7,1,306.062,3.479,1104.985,1059.03
1,4,16,261,32,-8,1,125.622,-4.517,435.596,406.472
1,4,17,0,0,-9,1,0,-9,0,0
1,4,18,0,0,-10,1,0,-10,0,0
1,4,19,0,0,-11,1,0,-11,0,0
1,4,20,0,0,-11,1,0,-11,0,0
1,4,21,0,0,-11,1,0,-11,0,0
1,4,22,0,0,-11,2,0,-11,0,0
1,4,23,0,0,-11,2,0,-11,0,0
1,5,0,0,0,-11,2,0,-11,0,0
1,5,1,0,0,-11,2,0,-11,0,0
1,5,2,0,0,-11,2,0,-11,0,0
1,5,3,0,0,-11,2,0,-11,0,0
1,5,4,0,0,-11,2,0,-11,0,0
1,5,5,0,0,-11,2,0,-11,0,0
1,5,6,0,0,-12,2,0,-12,0,0
1,5,7,0,0,-11,2,0,-11,0,0
1,5,8,541,27,-9,3,202.188,-5.825,680.373,645.578
1,5,9,784,46,-6,4,437.509,2.534,1571.994,1511.829
1,5,10,879,57,-3,4,612.715,9.935,2203.742,2121.129
1,5,11,916,63,-1,4,720.887,14.691,2566.767,2469.576
1,5,12,893,74,0,5,749.494,14.451,2679.087,2577.138
1,5,13,889,68,1,5,712.392,14.774,2535.9,2439.996
1,5,14,851,60,0,4,601.673,13.275,2132.428,2052.535
1,5,15,752,47,0,3,421.203,10.254,1463.015,1406.348
1,5,16,498,26,-2,3,186.571,1.97,607.117,574.077
1,5,17,0,0,-3,3,0,-3,0,0
1,5,18,0,0,-4,3,0,-4,0,0
1,5,19,0,0,-4,3,0,-4,0,0
1,5,20,0,0,-5,3,0,-5,0,0
1,5,21,0,0,-6,3,0,-6,0,0
1,5,22,0,0,-7,3,0,-7,0,0
1,5,23,0,0,-7,3,0,-7,0,0
1,6,0,0,0,-8,3,0,-8,0,0
1,6,1,0,0,-8,2,0,-8,0,0
1,6,2,0,0,-9,2,0,-9,0,0
1,6,3,0,0,-9,2,0,-9,0,0
1,6,4,0,0,-9,2,0,-9,0,0
1,6,5,0,0,-9,2,0,-9,0,0
1,6,6,0,0,-9,2,0,-9,0,0
1,6,7,0,0,-8,2,0,-8,0,0
1,6,8,463,28,-7,2,179.685,-4.092,604.012,571.046
1,6,9,455,70,-5,2,311.185,2.352,1130.813,1084.125
1,6,10,452,115,-2,1,422.988,11.259,1521.54,1463.008
1,6,11,890,63,0,1,703.594,22.43,2418.604,2327.511
1,6,12,303,184,0,1,438.737,15.716,1565.475,1505.523
1,6,13,881,65,1,2,699.605,19.731,2435.114,2343.352
1,6,14,829,60,2,1,590.052,22.213,2008.836,1933.545
1,6,15,708,50,1,1,405.558,15.057,1381.472,1327.349
1,6,16,441,28,0,1,172.783,5.554,558.344,526.446
1,6,17,0,0,-1,1,0,-1,0,0
1,6,18,0,0,-1,2,0,-1,0,0
1,6,19,0,0,-1,3,0,-1,0,0
1,6,20,0,0,-1,4,0,-1,0,0
1,6,21,0,0,-1,4,0,-1,0,0
1,6,22,0,0,-2,3,0,-2,0,0
1,6,23,0,0,-3,3,0,-3,0,0
1,7,0,0,0,-4,3,0,-4,0,0
1,7,1,0,0,-4,3,0,-4,0,0
1,7,2,0,0,-4,4,0,-4,0,0
1,7,3,0,0,-5,4,0,-5,0,0
1,7,4,0,0,-5,4,0,-5,0,0
1,7,5,0,0,-6,4,0,-6,0,0
1,7,6,0,0,-6,4,0,-6,0,0
1,7,7,0,0,-6,4,0,-6,0,0
1,7,8,47,35,-5,4,56.472,-5.469,211.867,187.441
1,7,9,91,96,-4,4,153.438,-2.156,583.941,551.447
1,7,10,0,104,-4,3,102.319,-2.933,397.816,369.519
1,7,11,0,114,-3,3,111.343,-1.854,430.962,401.94
1,7,12,26,174,-2,3,195.2,1.292,744.876,708.494
1,7,13,44,175,-1,3,219.044,3.128,828.668,790.165
1,7,14,38,142,-1,3,175.852,2.113,667.119,632.645
1,7,15,10,89,-1,2,95.042,0.146,363.642,336.08
1,7,16,0,29,-3,1,28.32,-4.321,110.742,88.286
1,7,17,0,0,-4,1,0,-4,0,0
1,7,18,0,0,-5,2,0,-5,0,0
1,7,19,0,0,-6,2,0,-6,0,0
1,7,20,0,0,-7,2,0,-7,0,0
1,7,21,0,0,-8,2,0,-8,0,0
1,7,22,0,0,-9,2,0,-9,0,0
1,7,23,0,0,-10,2,0,-10,0,0
1,8,0,0,0,-11,2,0,-11,0,0
1,8,1,0,0,-12,2,0,-12,0,0
1,8,2,0,0,-12,3,0,-12,0,0
1,8,3,0,0,-11,2,0,-11,0,0
1,8,4,0,0,-11,1,0,-11,0,0
1,8,5,0,0,-11,1,0,-11,0,0
1,8,6,0,0,-12,0,0,-12,0,0
1,8,7,0,0,-11,0,0,-11,0,0
1,8,8,412,31,-10,0,170.702,-5.85,583.811,551.319
1,8,9,681,54,-8,0,397.726,7.669,1401.534,1346.791
1,8,10,793,65,-7,0,575.232,16.948,2007.482,1932.24
1,8,11,41,173,-5,1,214.397,3.038,811.478,773.416
1,8,12,832,80,-3,2,716.05,15.562,2548.142,2451.729
1,8,13,806,81,-2,3,674.586,14.753,2403.813,2313.318
1,8,14,746,74,-1,4,558.883,11.252,2002.811,1927.74
1,8,15,636,59,-1,3,387.522,8.331,1365.908,1312.264
1,8,16,370,33,-3,2,162.186,0.9,544.627,513.046
1,8,17,0,0,-4,2,0,-4,0,0
1,8,18,0,0,-4,3,0,-4,0,0
1,8,19,0,0,-4,3,0,-4,0,0
1,8,20,0,0,-5,4,0,-5,0,0
1,8,21,0,0,-5,4,0,-5,0,0
1,8,22,0,0,-4,4,0,-4,0,0
1,8,23,0,0,-4,3,0,-4,0,0
1,9,0,0,0,-4,3,0,-4,0,0
1,9,1,0,0,-4,3,0,-4,0,0
1,9,2,0,0,-3,2,0,-3,0,0
1,9,3,0,0,-2,2,0,-2,0,0
1,9,4,0,0,-2,2,0,-2,0,0
1,9,5,0,0,-2,1,0,-2,0,0
1,9,6,0,0,-2,1,0,-2,0,0
1,9,7,0,0,-1,1,0,-1,0,0
1,9,8,100,35,0,2,76.574,-0.073,273.34,247.669
1,9,9,0,86,0,3,86.724,0.453,332.44,305.54
1,9,10,94,150,0,5,219.857,2.996,828.191,789.701
1,9,11,12,156,0,6,165.337,1.893,629.53,595.958
1,9,12,390,172,0,7,488.9,6.841,1813.105,1744.811
1,9,13,85,186,0,8,261.069,3.201,986.299,943.632
1,9,14,67,149,0,8,202.062,2.126,765.227,728.336
1,9,15,6,90,-1,8,93.929,-0.526,360.862,333.36
1,9,16,0,20,-2,7,18.952,-2.793,73.642,51.885
1,9,17,0,0,-3,7,0,-3,0,0
1,9,18,0,0,-3,7,0,-3,0,0
1,9,19,0,0,-4,6,0,-4,0,0
1,9,20,0,0,-4,6,0,-4,0,0
1,9,21,0,0,-5,6,0,-5,0,0
1,9,22,0,0,-6,6,0,-6,0,0
1,9,23,0,0,-6,7,0,-6,0,0
1,10,0,0,0,-7,7,0,-7,0,0
1,10,1,0,0,-8,7,0,-8,0,0
1,10,2,0,0,-8,6,0,-8,0,0
1,10,3,0,0,-9,6,0,-9,0,0
1,10,4,0,0,-9,5,0,-9,0,0
1,10,5,0,0,-10,5,0,-10,0,0
1,10,6,0,0,-10,5,0,-10,0,0
1,10,7,0,0,-10,4,0,-10,0,0
1,10,8,414,34,-9,4,173.985,-6.821,598.631,565.792
1,10,9,717,60,-8,4,421.469,0.118,1534.704,1475.749
1,10,10,846,72,-6,3,616.972,8.689,2234.377,2150.582
1,10,11,902,80,-5,2,741.574,15.731,2630.62,2530.739
1,10,12,900,89,-4,2,779.091,18.1,2741.557,2636.91
1,10,13,889,86,-4,2,742.133,17.252,2615.618,2516.372
1,10,14,842,77,-4,2,625.256,14.014,2214.166,2131.152
1,10,15,716,65,-4,1,436.233,11.429,1518.478,1460.045
1,10,16,448,37,-6,1,191.868,0.503,644.405,610.478
1,10,17,0,0,-6,1,0,-6,0,0
1,10,18,0,0,-6,1,0,-6,0,0
1,10,19,0,0,-6,2,0,-6,0,0
1,10,20,0,0,-6,3,0,-6,0,0
1,10,21,0,0,-6,3,0,-6,0,0
1,10,22,0,0,-5,3,0,-5,0,0
1,10,23,0,0,-5,4,0,-5,0,0
1,11,0,0,0,-5,4,0,-5,0,0
1,11,1,0,0,-5,3,0,-5,0,0
1,11,2,0,0,-5,3,0,-5,0,0
1,11,3,0,0,-5,3,0,-5,0,0
1,11,4,0,0,-5,3,0,-5,0,0
1,11,5,0,0,-5,2,0,-5,0,0
1,11,6,0,0,-5,2,0,-5,0,0
1,11,7,0,0,-4,3,0,-4,0,0
1,11,8,424,34,-3,4,176.912,-0.753,592.97,560.264
1,11,9,670,69,-2,4,412.748,5.92,1470.046,1413.156
1,11,10,765,95,0,5,597.407,10.965,2145.328,2064.947
1,11,11,132,190,0,6,308.419,4.922,1155.588,1108.191
1,11,12,119,210,1,5,326.386,6.47,1216.274,1167.116
1,11,13,136,198,1,5,321.458,6.404,1196.95,1148.357
1,11,14,134,161,0,4,266.706,4.981,995.402,952.487
1,11,15,166,105,0,3,201.126,3.88,741.745,705.44
1,11,16,445,38,-1,1,193.151,4.063,640.752,606.913
1,11,17,0,0,-2,1,0,-2,0,0
1,11,18,0,0,-3,0,0,-3,0,0
1,11,19,0,0,-3,0,0,-3,0,0
1,11,20,0,0,-3,0,0,-3,0,0
1,11,21,0,0,-4,0,0,-4,0,0
1,11,22,0,0,-4,1,0,-4,0,0
1,11,23,0,0,-4,2,0,-4,0,0
1,12,0,0,0,-4,3,0,-4,0,0
1,12,1,0,0,-4,3,0,-4,0,0
1,12,2,0,0,-3,4,0,-3,0,0
1,12,3,0,0,-3,4,0,-3,0,0
1,12,4,0,0,-3,4,0,-3,0,0
1,12,5,0,0,-2,4,0,-2,0,0
1,12,6,0,0,-1,4,0,-1,0,0
1,12,7,0,0,-1,3,0,-1,0,0
1,12,8,53,36,0,3,58.951,-0.475,215.797,191.292
1,12,9,204,95,1,3,212.021,4.557,775.557,738.406
1,12,10,0,113,2,4,111.803,3.276,423.478,394.62
1,12,11,114,190,3,5,295.698,7.546,1095.892,1050.194
1,12,12,13,171,2,7,181.784,4.055,685.917,650.987
1,12,13,0,125,1,8,122.692,1.887,467.476,437.646
1,12,14,0,60,-1,9,56.965,-1.135,219.827,195.241
1,12,15,0,75,-3,10,73.602,-2.964,286.2,260.265
1,12,16,0,35,-6,11,34.607,-6.422,136.5,113.551
1,12,17,0,0,-8,11,0,-8,0,0
1,12,18,0,0,-9,10,0,-9,0,0
1,12,19,0,0,-11,9,0,-11,0,0
1,12,20,0,0,-13,8,0,-13,0,0
1,12,21,0,0,-14,7,0,-14,0,0
1,12,22,0,0,-15,6,0,-15,0,0
1,12,23,0,0,-16,5,0,-16,0,0
1,13,0,0,0,-16,4,0,-16,0,0
1,13,1,0,0,-17,3,0,-17,0,0
1,13,2,0,0,-17,3,0,-17,0,0
1,13,3,0,0,-18,2,0,-18,0,0
1,13,4,0,0,-18,2,0,-18,0,0
1,13,5,0,0,-18,1,0,-18,0,0
1,13,6,0,0,-18,0,0,-18,0,0
1,13,7,0,0,-17,0,0,-17,0,0
1,13,8,458,34,-16,0,187.023,-10.949,651.597,617.497
1,13,9,707,64,-14,1,425.596,-0.889,1558.849,1499.112
1,13,10,817,81,-13,2,611.469,3.899,2262.827,2177.925
1,13,11,280,181,-11,3,412.015,-0.69,1577.604,1517.256
1,13,12,25,179,-9,4,199.473,-5.322,782.576,745.248
1,13,13,15,163,-8,5,174.732,-5.719,686.727,651.777
1,13,14,0,82,-8,5,78.657,-7.659,311.822,285.355
1,13,15,0,37,-7,5,35.082,-7.683,139.092,116.093
1,13,16,0,19,-7,5,17.998,-8.094,71.477,49.76
1,13,17,0,0,-6,5,0,-6,0,0
1,13,18,0,0,-5,5,0,-5,0,0
1,13,19,0,0,-4,5,0,-4,0,0
1,13,20,0,0,-3,4,0,-3,0,0
1,13,21,0,0,-2,4,0,-2,0,0
1,13,22,0,0,0,5,0,0,0,0
1,13,23,0,0,0,5,0,0,0,0
1,14,0,0,0,-2,6,0,-2,0,0
1,14,1,0,0,-4,6,0,-4,0,0
1,14,2,0,0,-6,7,0,-6,0,0
1,14,3,0,0,-9,8,0,-9,0,0
1,14,4,0,0,-12,9,0,-12,0,0
1,14,5,0,0,-14,9,0,-14,0,0
1,14,6,0,0,-15,8,0,-15,0,0
1,14,7,0,0,-16,8,0,-16,0,0
1,14,8,440,37,-16,8,184.524,-14.385,654.457,620.288
1,14,9,705,69,-15,8,430.603,-9.625,1636.416,1574.132
1,14,10,830,85,-14,7,624.716,-4.753,2397.995,2307.734
1,14,11,897,91,-13,7,755.849,-1.444,2890.742,2779.508
1,14,12,875,108,-12,6,793.303,1.65,3003.129,2886.794
1,14,13,875,101,-12,6,756.739,1.055,2865.905,2755.781
1,14,14,844,87,-12,6,645.909,-0.945,2444.473,2352.33
1,14,15,759,67,-13,5,467.343,-4.199,1743.866,1677.961
1,14,16,541,38,-15,4,227.364,-10.552,800.095,762.323
1,14,17,0,0,-16,4,0,-16,0,0
1,14,18,0,0,-17,4,0,-17,0,0
1,14,19,0,0,-18,4,0,-18,0,0
1,14,20,0,0,-19,4,0,-19,0,0
1,14,21,0,0,-20,4,0,-20,0,0
1,14,22,0,0,-21,4,0,-21,0,0
1,14,23,0,0,-21,3,0,-21,0,0
1,15,0,0,0,-22,3,0,-22,0,0
1,15,1,0,0,-22,3,0,-22,0,0
1,15,2,0,0,-23,3,0,-23,0,0
1,15,3,0,0,-23,3,0,-23,0,0
1,15,4,0,0,-23,2,0,-23,0,0
1,15,5,0,0,-23,2,0,-23,0,0
1,15,6,0,0,-23,2,0,-23,0,0
1,15,7,0,0,-23,2,0,-23,0,0
1,15,8,306,34,-21,2,142.177,-19.082,521.141,490.098
1,15,9,813,59,-19,3,468.566,-8.449,1767.094,1700.393
1,15,10,917,74,-17,3,667.68,-0.552,2517.158,2422.032
1,15,11,964,82,-16,3,794.713,4.1,2968.637,2853.88
1,15,12,966,89,-14,2,836.842,10.404,3049.835,2931.347
1,15,13,955,86,-14,2,799.612,9.559,2919.075,2806.565
1,15,14,915,77,-14,1,682.225,10.584,2456.721,2364.079
1,15,15,815,64,-14,1,490.585,4.01,1767.587,1700.869
1,15,16,588,38,-16,0,239.89,-2.718,814.928,776.777
1,15,17,0,0,-17,0,0,-17,0,0
1,15,18,0,0,-18,0,0,-18,0,0
1,15,19,0,0,-19,0,0,-19,0,0
1,15,20,0,0,-19,1,0,-19,0,0
1,15,21,0,0,-18,1,0,-18,0,0
1,15,22,0,0,-18,2,0,-18,0,0
1,15,23,0,0,-17,3,0,-17,0,0
1,16,0,0,0,-17,3,0,-17,0,0
1,16,1,0,0,-16,3,0,-16,0,0
1,16,2,0,0,-15,3,0,-15,0,0
1,16,3,0,0,-15,4,0,-15,0,0
1,16,4,0,0,-14,4,0,-14,0,0
1,16,5,0,0,-14,4,0,-14,0,0
1,16,6,0,0,-14,5,0,-14,0,0
1,16,7,0,0,-13,5,0,-13,0,0
1,16,8,279,46,-12,5,147.931,-10.582,532.904,501.593
1,16,9,595,83,-11,5,393.473,-4.491,1470.545,1413.639
1,16,10,6,132,-9,5,136.111,-7.155,538.128,506.696
1,16,11,113,201,-8,4,308.226,-2.501,1192.552,1144.087
1,16,12,256,203,-6,4,430.441,2.611,1628.671,1566.644
1,16,13,812,106,-5,3,725.945,12.325,2620.072,2520.637
1,16,14,761,96,-4,3,611.892,11.338,2199.792,2117.332
1,16,15,646,79,-4,2,428.162,8.201,1522.482,1463.92
1,16,16,412,46,-6,2,196.43,-0.929,676.628,641.924
1,16,17,0,0,-7,2,0,-7,0,0
1,16,18,0,0,-8,3,0,-8,0,0
1,16,19,0,0,-8,4,0,-8,0,0
1,16,20,0,0,-8,4,0,-8,0,0
1,16,21,0,0,-8,3,0,-8,0,0
1,16,22,0,0,-8,3,0,-8,0,0
1,16,23,0,0,-9,3,0,-9,0,0
1,17,0,0,0,-8,4,0,-8,0,0
1,17,1,0,0,-8,4,0,-8,0,0
1,17,2,0,0,-7,4,0,-7,0,0
1,17,3,0,0,-6,4,0,-6,0,0
1,17,4,0,0,-5,4,0,-5,0,0
1,17,5,0,0,-4,4,0,-4,0,0
1,17,6,0,0,-3,4,0,-3,0,0
1,17,7,0,0,-2,5,0,-2,0,0
1,17,8,0,3,0,6,2.835,-1.274,10.946,0
1,17,9,0,66,0,6,63.849,-0.191,245.417,220.316
1,17,10,0,86,0,7,82.772,0.205,317.624,291.035
1,17,11,0,119,1,7,116.088,1.764,442.543,413.266
1,17,12,0,131,2,7,128.243,3,486.318,456.065
1,17,13,83,197,2,6,272.324,5.672,1018.517,974.97
1,17,14,201,163,2,6,312.234,6.569,1155.911,1108.505
1,17,15,73,110,1,5,154.96,3.098,579.948,547.547
1,17,16,0,43,0,4,43.085,-0.407,165.755,142.239
1,17,17,0,0,0,4,0,0,0,0
1,17,18,0,0,0,3,0,0,0,0
1,17,19,0,0,-1,2,0,-1,0,0
1,17,20,0,0,-1,2,0,-1,0,0
1,17,21,0,0,-1,3,0,-1,0,0
1,17,22,0,0,-1,3,0,-1,0,0
1,17,23,0,0,-1,3,0,-1,0,0
1,18,0,0,0,-1,4,0,-1,0,0
1,18,1,0,0,-1,4,0,-1,0,0
1,18,2,0,0,-2,4,0,-2,0,0
1,18,3,0,0,-2,4,0,-2,0,0
1,18,4,0,0,-3,4,0,-3,0,0
1,18,5,0,0,-3,4,0,-3,0,0
1,18,6,0,0,-3,4,0,-3,0,0
1,18,7,0,0,-3,4,0,-3,0,0
1,18,8,470,35,-2,4,192.413,0.598,640.022,606.2
1,18,9,725,61,0,4,430.68,8.353,1516.843,1458.462
1,18,10,836,74,0,4,621.009,13.091,2209.221,2126.397
1,18,11,878,83,2,4,739.626,18.101,2598.942,2500.4
1,18,12,860,98,3,4,773.981,20.101,2702.268,2599.322
1,18,13,676,105,4,4,630.364,18.022,2219.143,2135.937
1,18,14,552,111,3,3,498.615,15.146,1766.646,1699.96
1,18,15,708,68,2,3,451.136,12.663,1572.023,1511.857
1,18,16,330,46,1,4,172.124,4.155,587.157,554.587
1,18,17,0,0,0,5,0,0,0,0
1,18,18,0,0,0,5,0,0,0,0
1,18,19,0,0,0,6,0,0,0,0
1,18,20,0,0,-1,6,0,-1,0,0
1,18,21,0,0,-2,7,0,-2,0,0
1,18,22,0,0,-3,7,0,-3,0,0
1,18,23,0,0,-4,6,0,-4,0,0
1,19,0,0,0,-5,6,0,-5,0,0
1,19,1,0,0,-6,5,0,-6,0,0
1,19,2,0,0,-6,4,0,-6,0,0
1,19,3,0,0,-7,4,0,-7,0,0
1,19,4,0,0,-8,3,0,-8,0,0
1,19,5,0,0,-8,2,0,-8,0,0
1,19,6,0,0,-8,1,0,-8,0,0
1,19,7,0,0,-8,1,0,-8,0,0
1,19,8,29,39,-7,2,50.595,-7.867,194.551,170.469
1,19,9,0,48,-5,2,45.548,-5.803,179.203,155.423
1,19,10,0,128,-3,2,127.541,-1.431,492.786,462.387
1,19,11,0,108,-1,3,104.494,0.049,401.239,372.867
1,19,12,0,106,0,3,102.126,0.924,390.703,362.559
1,19,13,0,67,0,4,63.641,-0.062,244.487,219.404
1,19,14,0,49,0,4,46.498,-0.534,178.982,155.206
1,19,15,0,27,0,4,25.583,-1.043,98.686,76.459
1,19,16,323,56,0,4,182.412,2.436,632.385,598.746
1,19,17,0,0,-1,5,0,-1,0,0
1,19,18,0,0,-1,6,0,-1,0,0
1,19,19,0,0,-2,6,0,-2,0,0
1,19,20,0,0,-2,6,0,-2,0,0
1,19,21,0,0,-3,6,0,-3,0,0
1,19,22,0,0,-3,5,0,-3,0,0
1,19,23,0,0,-3,5,0,-3,0,0
1,20,0,0,0,-3,5,0,-3,0,0
1,20,1,0,0,-4,5,0,-4,0,0
1,20,2,0,0,-4,5,0,-4,0,0
1,20,3,0,0,-5,5,0,-5,0,0
1,20,4,0,0,-5,4,0,-5,0,0
1,20,5,0,0,-6,4,0,-6,0,0
1,20,6,0,0,-6,3,0,-6,0,0
1,20,7,0,0,-6,3,0,-6,0,0
1,20,8,0,7,-5,3,6.619,-6.842,26.152,5.271
1,20,9,0,70,-4,3,67.943,-4.247,265.606,240.094
1,20,10,225,158,-3,2,327.513,4.359,1222.579,1173.237
1,20,11,6,158,-2,1,162.014,2.762,614.825,581.603
1,20,12,72,210,-1,1,280.278,6.76,1044.212,999.957
1,20,13,318,190,0,1,455.47,14.062,1637.396,1575.079
1,20,14,274,160,0,1,365.663,12.127,1319.932,1267.689
1,20,15,811,52,0,1,486.986,15.499,1673.075,1609.568
1,20,16,615,35,-2,1,255.16,6.788,838.859,800.094
1,20,17,0,0,-4,1,0,-4,0,0
1,20,18,0,0,-4,2,0,-4,0,0
1,20,19,0,0,-4,3,0,-4,0,0
1,20,20,0,0,-4,3,0,-4,0,0
1,20,21,0,0,-5,3,0,-5,0,0
1,20,22,0,0,-5,3,0,-5,0,0
1,20,23,0,0,-6,3,0,-6,0,0
1,21,0,0,0,-6,2,0,-6,0,0
1,21,1,0,0,-6,2,0,-6,0,0
1,21,2,0,0,-5,2,0,-5,0,0
1,21,3,0,0,-5,2,0,-5,0,0
1,21,4,0,0,-5,2,0,-5,0,0
1,21,5,0,0,-5,3,0,-5,0,0
1,21,6,0,0,-5,3,0,-5,0,0
1,21,7,0,0,-5,3,0,-5,0,0
1,21,8,489,35,-4,3,199.101,-0.927,666.554,632.094
1,21,9,760,53,-2,3,441.641,7.677,1559.526,1499.766
1,21,10,871,60,0,3,626.378,14.795,2211.283,2128.38
1,21,11,922,64,1,3,748.701,19.176,2618.196,2518.841
1,21,12,904,76,3,2,782.227,24.834,2672.049,2570.401
1,21,13,895,74,4,2,756.364,25.223,2574.651,2477.13
1,21,14,859,67,4,1,649.522,26.134,2183.356,2101.526
1,21,15,777,56,3,1,476.458,19.467,1610.109,1548.695
1,21,16,577,38,1,1,247.126,9.386,807.523,769.562
1,21,17,0,0,0,1,0,0,0,0
1,21,18,0,0,0,1,0,0,0,0
1,21,19,0,0,0,1,0,0,0,0
1,21,20,0,0,0,1,0,0,0,0
1,21,21,0,0,0,1,0,0,0,0
1,21,22,0,0,-1,2,0,-1,0,0
1,21,23,0,0,-1,2,0,-1,0,0
1,22,0,0,0,-1,2,0,-1,0,0
1,22,1,0,0,-2,2,0,-2,0,0
1,22,2,0,0,-2,1,0,-2,0,0
1,22,3,0,0,-3,1,0,-3,0,0
1,22,4,0,0,-3,1,0,-3,0,0
1,22,5,0,0,-3,1,0,-3,0,0
1,22,6,0,0,-4,1,0,-4,0,0
1,22,7,0,0,-3,1,0,-3,0,0
